2025-11-05	60	NBC Angelica
2025-11-05	60	TuinCo vergadering
2025-11-05	30	2e NBC talk Angelica 
2025-11-05	120	Feestcommissie afronding feest
2025-11-05	75	tuinco meeting
2025-11-05	180	OHC: Ventilatie uittekenen en tabel
2025-11-04	150	OHC: Ventilatie uittekenen
2025-10-30	30	Utikerings formulier sorteren
2025-10-26	180	Tuinsessie
2025-10-26	60	tuin
2025-10-26	360	Tuin
2025-10-26	180	bovenkeuken
2025-10-26	120	Tuinsessie 
2025-10-26	90	tuinsessie
2025-10-26	180	tuinsessie
2025-10-25	150	bovenkeuken
2025-10-24	120	Bovenkeuken 
2025-10-23	150	Begroting correctie, utikeringformulieren verwerken en corrigerde versies verstuuren
2025-10-23	30	UOT: Begroting controleren en ledenlijst doorsturen
2025-10-22	120	UOT: Begrotingscheck, foute contributieformule
2025-10-22	30	OHC: Verkeerde glaslat ontvangen
2025-10-21	180	Nieuwe huisgenoot email admin
2025-10-21	90	OHC: Ventilatiemensen rondje
2025-10-19	30	Deurveer vervangen
2025-10-19	270	Begroting finished, ALV prep, feest co discussie
2025-10-18	30	Notulen
2025-10-18	180	OHC: Glaslat tekenen en MJOP bijwerken
2025-10-17	120	OHC: Tweede helft onderhoud
2025-10-16	60	OHC: Glaszetters hier
2025-10-15	180	Penningmeester administratie, formulieren managen, klusuren bewerken
2025-10-15	30	OHC: Overleg over vochtschade en verzkeren
2025-10-13	150	onderhouds rondje, mjop, Lints ventilatie, rookmelders
2025-10-13	120	onderhoudsronde deel 1
2025-10-13	210	Begroting werk en uitkering formularen infos vergaderen
2025-10-13	150	OHC: Eerste ronde onderhoud
2025-10-12	45	feest schoonmaak
2025-10-12	60	OHC: MJOP10
2025-10-11	120	NWL feest opbouw
2025-10-09	330	RBG vraagen, uitkeringsspecificatie template maken, hilde over schulden vragen
2025-10-09	30	UOT: Tekst naar oud-leden controleren
2025-10-09	270	OHC: MJOP formule verbeterd (MOD neg en TODAY eruit)
2025-10-08	60	feestopruimings
2025-10-08	90	UOT: Taxatierapport gecontroleerd
2025-10-06	180	uitkering: mails schijven etc.
2025-10-05	210	Gekookt voor meeting + schoonmaak
2025-10-05	555	Feest op- en afbouw 
2025-10-05	240	feest cleanup
2025-10-05	180	party tear-down
2025-10-05	60	Party teardown
2025-10-05	240	Feest cleanup
2025-10-05	120	Feest cleaning
2025-10-05	30	UOT: Toolbox MJOP update
2025-10-04	240	feest build
2025-10-04	300	Party Deco and Prep
2025-10-04	120	Schoonmaak huisfeest 
2025-10-04	300	party prep
2025-10-04	300	Nieuwelaan party buildup
2025-10-04	240	feest, deco, spullen rondrijden etc etc.
2025-10-04	240	Nieuwelaanfeest setup and shifts
2025-10-04	120	Nieuwelaan feest prep
2025-10-03	90	Klusbuten halen en e-Herkenning inrichten
2025-10-03	45	Bier halen feest
2025-10-03	120	Party Prep
2025-10-03	120	Party deco
2025-10-03	240	Party prep
2025-10-03	120	Party clean up
2025-10-03	120	Transport geluid huisfeest
2025-10-03	240	feestvoorbereiding opruimen en tarpen
2025-10-03	240	Nieuwelaan feest voorbereiden met feestcommissie
2025-10-03	60	Feest prep
2025-10-02	30	Bestuur meeting
2025-10-02	120	UOT: Reflectie Voorrecht document
2025-10-01	30	Bestuur meeting
2025-10-01	60	Nieuwelaan party planning. E.g. reaching out to artists, making neighborhood letters and handing them out. 
2025-10-01	90	UOT: Schuld Douwe en Ruth uitrekenen
2025-10-01	30	OHC: Schilderwerk opleveren bejaarden
2025-09-30	240	Keukendeur bejaarden, afdichten , schuren, gronden. 
2025-09-30	120	Uren geleend liam
2025-09-30	-120	Uren geleend aan Koem
2025-09-30	195	Klusboete Q3 2025
2025-09-29	-1800	Incorrect entry 
2025-09-29	240	Schuren vullen verlijmen gat in de deur bejaarden 
2025-09-28	240	eetcafe door subrenter
2025-09-28	90	cvt dinge bekijken
2025-09-28	-105	transfer to Laure.
2025-09-28	105	Hours borrowed from Bernhard
2025-09-28	300	Party deco prep
2025-09-27	150	Begorting 2026
2025-09-27	45	Vergadering Lustrum
2025-09-27	240	Eetcafé met foodsharing
2025-09-26	90	UOT: Overleg met commissie
2025-09-26	120	OHC: Aan MJOP gewerkt (categroiën)
2025-09-26	90	Groen: Overleg bij Esmeralde
2025-09-25	120	Begroting en Factuuren Checken
2025-09-24	360	uitkering: prepare emails & docs
2025-09-24	30	UOT: Mails en documenten voorbereiden
2025-09-22	120	uitkering: voorbereiding juridisch toetsing
2025-09-22	30	Scaffold demounting
2025-09-21	180	Continued my klus work. Added new sealant to the Nerd bathroom
2025-09-21	30	Kasco slides voor ALV presentatie
2025-09-20	240	Klusdag
2025-09-20	315	Prepping, coordinating and leading Klusdag
2025-09-20	300	klusdag
2025-09-20	105	Leading Klusdag and documenting the progress in Klusco files (I did the math wrong, should have been a total of 7 hours)
2025-09-20	240	Klusdag 
2025-09-20	270	klusdag, hose fix, gipsum removal, kitchen door cleaning groundfloor, and rot / stuck check, clean up
2025-09-20	30	Lints ventilation round
2025-09-20	120	CV Ketel Maintenance + Meterkast check
2025-09-20	120	Klusdag
2025-09-20	300	Klusdag
2025-09-20	360	Klusdag
2025-09-20	240	klusdag
2025-09-20	300	Klusdag. Removed old sealant in one of the Nerd showers
2025-09-20	0	Klusdag. Removed old sealant in one of the Nerd showers
2025-09-20	240	Klusdag
2025-09-20	150	UOT: Ledenregister check en Vivi's schuld check
2025-09-20	90	OHC: Lints ventilatie rondleiden en opleveren Nerds L
2025-09-20	60	Kascoverslag
2025-09-19	60	ALV prep
2025-09-19	480	uitkering: voorbereiding ALB/ALV
2025-09-18	90	Klusco Meeting: Prepping for Klusdag
2025-09-18	60	Feest commissie vergadering + taakje
2025-09-18	120	Kluscommissie vergadering en voorbereiden klusdag
2025-09-18	90	Klus: muur kenaus
2025-09-18	60	Feest meeting
2025-09-18	60	feestco meet
2025-09-15	60	UOT: rondje met taxateur
2025-09-14	180	douchekraan kopen en vervangen
2025-09-13	30	Compost mixing 
2025-09-12	1800	Compost mixing
2025-09-12	210	UOT: Uitkeringsbeslissingendocument aanpassen
2025-09-11	1200	uitkering: voorbereiding ALB/ALV
2025-09-11	480	uitkering ALV
2025-09-11	60	Klus: gaatjes vullen kenau muuren
2025-09-09	210	Begroting and Leningen Work
2025-09-09	90	FeestCo meeting + research
2025-09-09	15	temp fix kenau tap
2025-09-09	120	UOT: Toolbox
2025-09-08	60	Jaarrekening werk
2025-09-08	240	gevel schoonmaken 
2025-09-08	90	gesprek met gemeente over agnietenpad
2025-09-08	240	facade schoonmaak, 1:5 rolith zuur, Myrthe/Angelia (1,5 verdieping)
2025-09-08	60	Feest commissie vergadering
2025-09-08	60	feestco meet
2025-09-08	60	UOT: Barry's contract uitzoeken
2025-09-08	90	Groen: Gesprek met gemeente
2025-09-08	90	gesprek gemeente agnietenpad
2025-09-07	30	OHC: Schilderwerk opleveren Nerds R
2025-09-06	105	Bestuur vergadering
2025-09-06	105	Bestuur meeting
2025-09-05	30	UOT: Rente vs inflatie
2025-09-04	150	feest planning + meeting
2025-09-02	60	Feest commissie vergadering
2025-09-02	60	feestco meet
2025-09-01	210	Penningmeester Administratie
2025-09-01	120	Bernhard helpen schilderklus 
2025-09-01	480	diverse: ventilatie/rolith fixen, rolith toepassen 1:10/1:5 twee keer, angelica deur, glaszetter begeleid
2025-09-01	0	Klusboete Q3 2025
2025-09-01	240	Klusboete Q3 2025
2025-09-01	720	Klusboete Q3 2025
2025-09-01	0	Klusboete Q3 2025
2025-09-01	180	Klusboete Q3 2025
2025-09-01	135	Klusboete Q3 2025
2025-09-01	390	Klusboete Q3 2025
2025-09-01	0	Klusboete Q3 2025
2025-09-01	-180	correctie klusboete Q3 2025
2025-09-01	240	UOT: Historische rente uitzoeken
2025-08-31	210	Feest Co Werk
2025-08-31	120	Eetcafe
2025-08-31	180	Eetcafe 31 Aug
2025-08-31	60	Kascontrole 
2025-08-31	180	UOT: Discussie over jaarrekening en statuten
2025-08-31	120	Kasco: Nog een aanvullingenmail V5
2025-08-30	330	Tuin: tuinklusdag
2025-08-30	300	Tuinklusdag
2025-08-30	180	Tuinklusdag 
2025-08-30	240	Tuindag - klussen, lunch maken voor de groep en veel meer!
2025-08-30	420	tuinkast
2025-08-30	120	gardening by subrenter
2025-08-30	150	tuinklusdag + meeting before
2025-08-30	180	Tuinklusdag 30 Aug
2025-08-30	300	klussen tuinklusdag buitenkast stabiliseren
2025-08-30	570	OHC: Met Ramses MJOP doornemen
2025-08-30	150	UOT: Discussie over jaarrekening en statuten
2025-08-28	180	UOT: Toolbox, visies Kees en Ramses toegevoegd
2025-08-27	60	Koelkast 
2025-08-27	30	Tuin: tuinco vergadering
2025-08-27	60	Tuincommissie meeting: preparing for tuindag
2025-08-27	180	UOT: Discussie met ChatGPT over werkkapitaal
2025-08-24	30	Toolbox
2025-08-23	60	ventilatie bedrijf Lieshout bezoek 
2025-08-20	30	OHC: Cementsluierspul uitzoeken
2025-08-18	90	Jaarrekening + Uitkering = 😭
2025-08-15	240	eetcafe door onderhuurder
2025-08-14	90	tuinco vergadering
2025-08-14	60	Factuuren Betaalen
2025-08-14	120	Hulp eetcafe Alejandra op 14.08
2025-08-14	30	UOT: Discussie over devaluatie als gevolg van inflatie
2025-08-13	30	UOT: Mails naar boekhouder reviewen
2025-08-12	60	Kasco lange mail van boekhouder
2025-08-10	150	Eetcafe with Koen
2025-08-10	60	cleaning bedroom skylight 
2025-08-10	30	Kasco mail naar penningmeester
2025-08-09	90	garden tool repair
2025-08-09	30	OHC: Schilderovereenkomst gecheckt
2025-08-08	75	Tuin: Vergadering + Kompost
2025-08-08	60	Tuin committee meeting
2025-08-08	60	TuinCo meeting
2025-08-06	30	OHC: Zoom over schildervoorwaarden
2025-08-05	120	UOT: Toolbox nieuw MJOP
2025-08-05	30	OHC: Contact met Erik over cementsluier
2025-08-05	60	Kasco v5
2025-08-04	90	Kasco mail aan penningmeester over v5
2025-08-03	60	UOT: Overleg over onderhoudsreserve
2025-08-02	180	toilet
2025-08-02	240	painting Nerdhuis kitchen plinths
2025-08-01	180	vochtmetingen muren ventilatie problematiek
2025-08-01	270	OHC: Vochmeting en tekening
2025-07-31	75	Penningmeester Administratie
2025-07-31	90	Kasco werkkapitaal overleggen
2025-07-30	30	UOT: Toolbox Update jaarverslag
2025-07-29	90	cvt
2025-07-29	30	Kasco: Antwoord eigen boekhouder
2025-07-28	120	gardening
2025-07-28	120	UOT: Overleg Teams met Triodos
2025-07-27	45	Penningmeester Administratie
2025-07-27	60	notulen
2025-07-27	60	minor work two kitchens
2025-07-26	30	Onkruid wieden
2025-07-26	150	sanding Nerdhuis kitchen plinths
2025-07-26	120	Kasco opzet verslag
2025-07-25	30	UOT: Eerste aanbod Triodos
2025-07-25	90	Kasco: Mail met vragen naar eigen boekhouder
2025-07-24	300	bestuur: uitkering
2025-07-24	240	ventilatie bedrijven benaderen, bellen mailen, onderzoek
2025-07-24	30	UOT: Contact met James over Milan
2025-07-19	90	feest planning
2025-07-18	60	Nbc
2025-07-18	60	NBC
2025-07-16	60	NBC Angelica 
2025-07-12	135	Tuin planteneiland en gras 
2025-07-12	120	Penningmeester Administratie
2025-07-11	90	Stukken Angelicas Kamer
2025-07-11	120	stucen koof kamer eve
2025-07-11	120	voorbereidingen stuccen en boodschappen voor klusco
2025-07-11	30	OHC: Kamer Angélica
2025-07-10	120	gipsplaat op koof, voorbereiden stukken
2025-07-08	120	klusboodschalppen, koof isoleren
2025-07-08	540	UOT: Toolbox
2025-07-08	30	OHC: Kamer Eve/Myrthe opleveren
2025-07-07	90	Klusdag (Draining and cleaning the CV kettle bij de Nerds)
2025-07-07	45	brandmelders
2025-07-06	270	klusdag - muur, cv, hulp
2025-07-05	-1770	klusadg meeting correctie
2025-07-05	90	klusdag
2025-07-05	210	klusdag
2025-07-05	210	klusdag
2025-07-03	90	ophalen kurkvloer Den Haag
2025-07-02	1800	klusadg meeting
2025-07-01	120	 Bouwen planteneiland
2025-06-30	270	borrowed from Bart
2025-06-30	-270	lend hours to Alecs
2025-06-30	300	bestuur: uitkering
2025-06-29	30	tuin
2025-06-29	30	ladder
2025-06-29	60	site
2025-06-29	180	Bestuur CvT meeting + cooking
2025-06-29	60	OHC: Overleg bij nerds
2025-06-28	150	Hout zagen, rot verwijderen, voorbehandelen
